train_mssg,train_spam
"['dear', 'u', 'invited', 'xchat', 'final', 'attempt', 'contact', 'u', 'txt', 'chat', '86688', '150p', 'msgrcvdhg', 'suite342', '2lands', 'row', 'w1j6hl', 'ldn', '18', 'yr']",spam
"['much', 'bad', 'avoid', 'like']",ham
"['actually', 'waiting', '2', 'week', 'start', 'putting', 'ad']",ham
"['take', 'care', 'n', 'get', 'well', 'soon']",ham
"['camera', 'awarded', 'sipix', 'digital', 'camera', 'call', '09061221066', 'fromm', 'landline', 'delivery', 'within', '28', 'day']",spam
['way'],ham
"['watching', 'telugu', 'movie', 'wat', 'abt', 'u']",ham
"['princess', 'like', 'make', 'love', 'lt', 'gt', 'time', 'per', 'night', 'hope', 'thats', 'problem']",ham
"['great', 'escape', 'fancy', 'bridge', 'need', 'lager', 'see', 'tomo']",ham
"['stop', 'knowing', 'well']",ham
"['ok', 'need', 'tell', 'anything', 'going', 'sleep', 'good', 'night']",ham
"['made', 'eta', 'taunton', '12', '30', 'planned', 'hope', 'still', 'okday', 'good', 'see', 'xx']",ham
"['ps', 'u', 'ur', 'grown', 'right']",ham
"['kallis', 'ready', 'bat', '2nd', 'inning']",ham
"['1', 'cbe', '2', 'chennai']",ham
"['working', 'technical', 'support', 'voice', 'process', 'networking', 'field']",ham
"['text', 'way', 'cup', 'stop', 'work', 'bus']",ham
"['dude', 'im', 'longer', 'pisces', 'im', 'aquarius']",ham
"['freemsg', '1', 'month', 'unlimited', 'free', 'call', 'activate', 'smartcall', 'txt', 'call', '68866', 'subscriptn3gbp', 'wk', 'unlimited', 'call', 'help', '08448714184', 'stop', 'txt', 'stop', 'landlineonly']",spam
"['tired', 'special']",ham
"['make', 'cry', 'stuff', 'happens', 'top', 'everything', 'else', 'push', 'edge', 'underdtand', 'often', 'cry', 'sorry', 'sorry', 'life']",ham
"['ask', 'u', 'meeting', 'da', 'ge', 'tmr', 'nite']",ham
"['yo', 'guy', 'ever', 'figure', 'much', 'need', 'alcohol', 'jay', 'trying', 'figure', 'much', 'safely', 'spend', 'weed']",ham
"['reply', 'name', 'address', 'receive', 'post', 'week', 'completely', 'free', 'accommodation', 'various', 'global', 'location', 'www', 'phb1', 'com', 'ph', '08700435505150p']",spam
"['wot', 'u', 'wanna', 'missy']",ham
"['gd', 'luck', '4', 'ur', 'exam']",ham
"['sorry', 'got', 'late', 'start', 'way']",ham
"['make', 'life', 'stressfull', 'always', 'find', 'time', 'laugh', 'may', 'add', 'year', 'life', 'surely', 'add', 'life', 'ur', 'year', 'gud', 'ni8', 'swt', 'dream']",ham
"['huh', 'cant', 'go', '2', 'ur', 'house', 'empty', 'handed', 'right']",ham
"['urgent', 'important', 'information', 'o2', 'user', 'today', 'lucky', 'day', '2', 'find', 'log', 'onto', 'http', 'www', 'urawinner', 'com', 'fantastic', 'surprise', 'awaiting']",spam
"['goodmorning', 'today', 'late', '1hr']",ham
"['home', 'doc', 'gave', 'pain', 'med', 'say', 'everything', 'fine']",ham
"['hey', 'babe', 'sorry', 'get', 'sooner', 'gary', 'come', 'fix', 'cause', 'think', 'know', 'go', 'far', 'ptbo', 'say', 'cost', 'lt', 'gt', 'buck', 'know', 'might', 'cheaper', 'find', 'someone', 'second', 'hand', 'machine', 'right', 'let', 'know', 'want', 'babe']",ham
"['today', 'sorry', 'day', 'ever', 'angry', 'ever', 'misbehaved', 'hurt', 'plz', 'plz', 'slap', 'urself', 'bcoz', 'ur', 'fault', 'basically', 'good']",ham
"['ok', 'problem', 'get', 'taxi', 'c', 'ing', 'tomorrow', 'tuesday', 'tuesday', 'think', 'r', 'going', 'cinema']",ham
"['send', 'id', 'password']",ham
"['wait', 'msg', 'lt', 'gt', 'min']",ham
"['hi', 'u', 'want', 'join', 'sts', 'later', 'meeting', 'five', 'call', 'u', 'class']",ham
"['449050000301', '2', '000', 'price', 'claim', 'call', '09050000301']",spam
"['yes', 'meet', 'town', 'co', 'go', 'gep', 'home', 'could', 'text', 'bus', 'stop', 'worry', 'finished', 'march', 'ish']",ham
"['hi', 'babe', 'im', 'home', 'wanna', 'something', 'xx']",ham
"['hi', 'wk', 'ok', 'hols', 'yes', 'bit', 'run', 'forgot', 'hairdresser', 'appointment', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', 'cause', 'prob', 'u']",ham
"['got', 'lot', 'hair', 'dresser', 'fr', 'china']",ham
"['doesnt', 'need', 'test']",ham
"['never', 'try', 'alone', 'take', 'weight', 'tear', 'come', 'ur', 'heart', 'fall', 'ur', 'eye', 'always', 'remember', 'stupid', 'friend', 'share', 'bslvyl']",ham
"['plz', 'note', 'anyone', 'calling', 'mobile', 'co', 'amp', 'asks', 'u', 'type', 'lt', 'gt', 'lt', 'gt', 'disconnect', 'call', 'coz', 'iz', 'attempt', 'terrorist', 'make', 'use', 'sim', 'card', 'itz', 'confirmd', 'nokia', 'n', 'motorola', 'n', 'verified', 'cnn', 'ibn']",ham
"['joy', 'father', 'john', 'john', '____', 'joy', 'father', 'u', 'an', 'th', 'hav', 'lt', 'gt', 'iq', 'tis', 'ias', 'question', 'try', 'answer']",ham
"['ü', 'write', 'wat']",ham
"['probably', 'almost', 'gas', 'get', 'cash', 'tomorrow']",ham
"['would', 'good', 'phone', 'tomo', 'lunchtime', 'shall', 'organise', 'something']",ham
"['sunshine', 'quiz', 'wkly', 'q', 'win', 'top', 'sony', 'dvd', 'player', 'u', 'know', 'country', 'algarve', 'txt', 'ansr', '82277', '1', '50', 'sp', 'tyrone']",spam
"['aiyah', 'sorry', 'lor', 'watch', 'tv', 'watch', 'forgot', '2', 'check', 'phone']",ham
"['eastenders', 'tv', 'quiz', 'flower', 'dot', 'compare', 'violet', 'e', 'tulip', 'f', 'lily', 'txt', 'e', 'f', '84025', '4', 'chance', '2', 'win', '100', 'cash', 'wkent', '150p16']",spam
"['also', 'andros', 'ice', 'etc', 'etc']",ham
"['noe', 'la', 'u', 'wana', 'pei', 'bf', 'oso', 'rite', 'k', 'lor', 'day', 'den']",ham
"['r', 'u', 'meeting', 'da', 'ge', 'nite', 'tmr']",ham
"['win', 'really', '1', 'side', 'long', 'time']",ham
['thanx'],ham
"['told', 'accenture', 'confirm', 'true']",ham
"['sez', 'hows', 'u', 'de', 'arab', 'boy', 'hope', 'u', 'r', 'good', 'give', 'love', '2', 'evry1', 'love', 'ya', 'eshxxxxxxxxxxx']",ham
"['great', 'p', 'diddy', 'neighbor', 'come', 'toothpaste', 'every', 'morning']",ham
"['ok', 'problem', 'yup', 'going', 'sch', '4', 'rem', 'correctly']",ham
"['know', 'complain', 'num', 'bettr', 'directly', 'go', 'bsnl', 'offc', 'nd', 'apply']",ham
"['ur', 'cash', 'balance', 'currently', '500', 'pound', 'maximize', 'ur', 'cash', 'send', 'go', '86688', '150p', 'msg', 'cc', '08718720201', 'hg', 'suite342', '2lands', 'row', 'w1j6hl']",spam
"['dont', 'know', 'ask', 'brother', 'nothing', 'problem', 'thing', 'told']",ham
"['jst', 'change', 'tat']",ham
"['oh', 'ok', 'wat', 'ur', 'email']",ham
"['haha', 'get', 'used', 'driving', 'usf', 'man', 'know', 'lot', 'stoner']",ham
"['poyyarikatur', 'kolathupalayam', 'unjalur', 'post', 'erode', 'dis', 'lt', 'gt']",ham
"['hi', 'durban', 'still', 'number']",ham
"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'callers', 'press', '9', 'copy', 'friend', 'callertune']",ham
"['whats', 'house', 'beer']",ham
"['hope', 'settled', 'new', 'school', 'year', 'wishin', 'gr8', 'day']",ham
"['ay', 'wana', 'meet', 'sat', 'ü', 'wkg', 'sat']",ham
"['reverse', 'cheating', 'mathematics']",ham
"['bad', 'girl', 'still', 'remember']",ham
['anything'],ham
"['welp', 'apparently', 'retired']",ham
"['want', 'kiss', 'feel', 'next']",ham
"['tirupur', 'da', 'started', 'office', 'call']",ham
"['okie', 'scared', 'u', 'say', 'fat', 'u', 'dun', 'wan', 'already']",ham
"['hi', 'please', 'get', 'lt', 'gt', 'dollar', 'loan', 'pay', 'back', 'mid', 'february', 'pls']",ham
"['good', 'hear']",ham
"['thank', 'princess', 'want', 'see', 'nice', 'juicy', 'booty']",ham
"['congratulations', 'ur', 'awarded', 'either', 'yr', 'supply', 'cds', 'virgin', 'records', 'mystery', 'gift', 'guaranteed', 'call', '09061104283', 'ts', 'cs', 'www', 'smsco', 'net', '1', '50pm', 'approx', '3mins']",spam
"['dude', 'makin', 'weirdy', 'brownie', 'sister', 'made', 'awesome', 'cooky', 'took', 'pic']",ham
"['weightloss', 'girl', 'friend', 'make', 'load', 'money', 'ebay', 'something', 'give', 'thanks', 'god']",ham
"['wishing', 'family', 'merry', 'x', 'ma', 'happy', 'new', 'year', 'advance']",ham
"['fffff', 'text', 'kadeem', 'far', 'gone']",ham
"['got', 'ten', 'buck', 'jay', 'noncomittal']",ham
"['yes', 'think', 'office', 'lap', 'room', 'think', 'thats', 'last', 'day', 'didnt', 'shut']",ham
"['b', 'floppy', 'b', 'snappy', 'happy', 'gay', 'chat', 'service', 'photo', 'upload', 'call', '08718730666', '10p', 'min', '2', 'stop', 'text', 'call', '08712460324']",spam
"['make', '3', '4', 'fuck', 'sake', 'x']",ham
"['hmmm', 'imagine', 'come', 'home', 'rub', 'foot', 'make', 'dinner', 'help', 'get', 'ready', 'date', 'sure', 'ready', 'kind', 'life']",ham
"['meeting', 'call', 'later']",ham
"['open', 'door']",ham
"['good', 'afternoon', 'babe', 'go', 'day', 'job', 'prospect', 'yet', 'miss', 'love', 'sigh']",ham
"['check', 'nuerologist']",ham
"['hey', 'really', 'horny', 'want', 'chat', 'see', 'naked', 'text', 'hot', '69698', 'text', 'charged', '150pm', 'unsubscribe', 'text', 'stop', '69698']",spam
"['aight', 'text', 'address']",ham
"['add', 'really', 'care', 'least', 'get', 'dude', 'fuck', 'hey', 'money', 'want']",ham
"['nt', 'joking', 'seriously', 'told']",ham
"['horrible', 'u', 'eat', 'mac', 'eat', 'u', 'forgot', 'abt', 'already', 'rite', 'u', 'take', 'long', '2', 'reply', 'thk', 'toot', 'b4', 'b', 'prepared', 'wat', 'shall', 'eat']",ham
"['yes', 'thought', 'thanks']",ham
"['dear', 'voucher', 'holder', 'next', 'meal', 'u', 'use', 'following', 'link', 'pc', '2', 'enjoy', '2', '4', '1', 'dining', 'experiencehttp', 'www', 'vouch4me', 'com', 'etlp', 'dining', 'asp']",spam
"['sign', 'maturity', 'start', 'saying', 'big', 'thing', 'actually', 'start', 'understanding', 'small', 'thing', 'nice', 'evening', 'bslvyl']",ham
"['hey', 'hun', 'onbus', 'goin', '2', 'meet', 'want', '2go', '4a', 'meal', 'donyt', 'feel', 'like', 'cuz', '2', 'get', 'last', 'bus', 'home', 'he', 'sweet', 'latelyxxx']",ham
"['yes', 'posted', 'couple', 'pic', 'fb', 'still', 'snow', 'outside', 'waking']",ham
"['reason', 'spoken', 'year', 'anyways', 'great', 'week', 'best', 'exam']",ham
"['hurry', 'weed', 'deficient', 'like', 'three', 'day']",ham
"['k', 'k', 'going', 'tirunelvali', 'week', 'see', 'uncle', 'already', 'spend', 'amount', 'taking', 'dress', 'want', 'money', 'give', 'feb', '1']",ham
"['ok', 'set', 'let', 'u', 'noe', 'e', 'detail', 'later']",ham
"['pa', 'tell', 'went', 'bath']",ham
"['chill', 'another', '6hrs', 'could', 'sleep', 'pain', 'surgical', 'emergency', 'see', 'unfolds', 'okay']",ham
"['1', '20', 'call', 'cost', 'guess', 'isnt', 'bad', 'miss', 'ya', 'need', 'ya', 'want', 'ya', 'love', 'ya']",ham
['okie'],ham
"['two', 'carton', 'u', 'pleased', 'shelf']",ham
"['ello', 'babe', 'u', 'ok']",ham
"['k', 'k', 'also', 'fine', 'complete', 'course']",ham
"['watching', 'ajith', 'film', 'ah']",ham
"['said', 'bad', 'dat', 'e', 'gal', 'know', 'u', 'wat', 'u']",ham
"['got', 'mail', 'panren', 'paru']",ham
"['much', 'ur', 'hdd', 'casing', 'cost']",ham
"['okies', 'go', 'yan', 'jiu', 'skip', 'ard', 'oso', 'go', 'cine', 'den', 'go', 'mrt', 'one', 'blah', 'blah', 'blah']",ham
"['erm', 'woodland', 'avenue', 'somewhere', 'get', 'parish', 'magazine', 'telephone', 'number']",ham
"['want', 'lt', 'gt', 'r', 'da']",ham
"['hey', 'told', 'name', 'gautham', 'ah']",ham
"['doc', 'prescribed', 'morphine', 'cause', 'pain', 'med', 'enough', 'waiting', 'mom', 'bring', 'med', 'kick', 'fast', 'gonna', 'try', 'later']",ham
"['vivek', 'got', 'call', 'number']",ham
"['know', 'thing', 'wrong', 'everyso', 'often', 'panicks', 'start', 'goin', 'bout', 'bein', 'good', 'enough']",ham
"['nice', 'day', 'impressively', 'sensible', 'went', 'home', 'early', 'feel', 'fine', 'boring', 'remember']",ham
"['year', 'many', 'mile']",ham
"['idc', 'get', 'weaseling', 'way', 'shit', 'twice', 'row']",ham
"['nobody', 'decide', 'eat', 'dad', 'want', 'chinese']",ham
"['sort', 'code', 'acc', 'bank', 'natwest', 'reply', 'confirm', 'sent', 'right', 'person']",ham
"['nothing', 'really', 'making', 'sure', 'everybody', 'speed']",ham
"['aight', 'let', 'know', 'gonna', 'around', 'usf']",ham
['happen'],ham
"['try', 'something', 'dear', 'read', 'something', 'exam']",ham
"['well', 'know', 'z', 'take', 'care', 'worry']",ham
['yup'],ham
"['arms', 'fine', 'cardiff', 'uni']",ham
"['gone', 'get', 'info', 'bt', 'dont', 'know']",ham
"['lets', 'use', 'next', 'week', 'princess']",ham
"['mean', 'u', 'could', 'keep', 'ur', 'word']",ham
"['going', 'wipro', 'interview', 'today']",ham
"['wat', 'time', 'ü', 'finish']",ham
"['thanks', 'ringtone', 'order', 'ref', 'number', 'r836', 'mobile', 'charged', '4', '50', 'tone', 'arrive', 'please', 'call', 'customer', 'service', '09065069154']",spam
"['mobile', '10', 'mths', 'update', 'latest', 'orange', 'camera', 'video', 'phone', 'free', 'save', 'free', 'text', 'weekend', 'call', 'text', 'yes', 'callback', 'orno', 'opt']",spam
"['new', 'textbuddy', 'chat', '2', 'horny', 'guy', 'ur', 'area', '4', '25p', 'free', '2', 'receive', 'search', 'postcode', 'gaytextbuddy', 'com', 'txt', 'one', 'name', '89693']",spam
"['ok', 'lor']",ham
"['thanks', 'da', 'thangam', 'feel', 'happy', 'dear', 'also', 'miss', 'da']",ham
"['4mths', 'half', 'price', 'orange', 'line', 'rental', 'latest', 'camera', 'phone', '4', 'free', 'phone', '11mths', 'call', 'mobilesdirect', 'free', '08000938767', 'update', 'or2stoptxt']",spam
"['place', 'ur', 'point', 'e', 'culture', 'module', 'already']",ham
"['boltblue', 'tone', '150p', 'reply', 'poly', 'mono', 'eg', 'poly3', '1', 'cha', 'cha', 'slide', '2', 'yeah', '3', 'slow', 'jamz', '6', 'toxic', '8', 'come', 'stop', '4', 'tone', 'txt']",spam
"['well', 'balls', 'time', 'make', 'call']",ham
"['nervous', 'lt', 'gt']",ham
"['omw', 'back', 'tampa', 'west', 'palm', 'hear', 'happened']",ham
"['avatar', 'supposed', 'subtoitles']",ham
"['theyre', 'lot', 'place', 'hospital', 'medical', 'place', 'safe']",ham
"['sorry', 'pa', 'dont', 'knw', 'ru', 'pa']",ham
"['online', 'transaction']",ham
"['hiya', 'hows', 'going', 'sunny', 'africa', 'hope', 'u', 'r', 'avin', 'good', 'time', 'give', 'big', 'old', 'silver', 'back', 'big', 'kiss']",ham
"['hmmm', 'mayb', 'try', 'e', 'shoppin', 'area', 'one', 'forgot', 'e', 'name', 'hotel']",ham
"['k', 'happen', 'tonight']",ham
"['ü', 'still', 'got', 'lesson', 'ü', 'sch']",ham
"['hiya', 'last', 'night', 'naughty', 'bought', 'clothes', 'little', 'ready', 'shopping', 'tho', 'kind', 'time', 'wanna', 'meet']",ham
"['hi', 'spoke', 'maneesha', 'v', 'like', 'know', 'satisfied', 'experience', 'reply', 'toll', 'free', 'yes']",ham
"['probably', 'tomorrow', 'even', 'later', 'tonight', 'something', 'going']",ham
"['gorgeous', 'keep', 'pix', 'cumming', 'thank']",ham
"['dude', 'fake', 'frnds', 'got', 'money', 'thts', 'reffering', 'u', 'u', 'member', 'wit', 'mail', 'link', 'u', 'vl', 'credited', 'lt', 'gt', 'r', 'il', 'getiing', 'lt', 'gt', 'r', 'draw', 'acc', 'wen', 'lt', 'gt', 'r']",ham
['ok'],ham
"['horrible', 'gal', 'sch', 'stuff', 'come', 'u', 'got', 'mc']",ham
"['love', 'excited', 'day', 'spend', 'make', 'happy']",ham
"['free', '1st', 'week', 'no1', 'nokia', 'tone', '4', 'ur', 'mobile', 'every', 'week', 'txt', 'nokia', '8077', 'get', 'txting', 'tell', 'ur', 'mate', 'www', 'getzed', 'co', 'uk', 'pobox', '36504', 'w45wq', '16', 'norm150p', 'tone']",spam
"['ya', 'even', 'cooky', 'jelly']",ham
"['send', 'logo', '2', 'ur', 'lover', '2', 'name', 'joined', 'heart', 'txt', 'love', 'name1', 'name2', 'mobno', 'eg', 'love', 'adam', 'eve', '07123456789', '87077', 'yahoo', 'pobox36504w45wq', 'txtno', '4', 'ad', '150p']",spam
"['meet', 'soon', 'princess', 'ttyl']",ham
"['exam', 'february', '4', 'wish', 'great', 'day']",ham
"['somewhr', 'someone', 'surely', 'made', '4', 'u', 'god', 'decided', 'perfect', 'time', 'make', 'u', 'meet', 'dat', 'person', 'till', 'den', 'enjoy', 'ur', 'crush']",ham
"['like', 'italian', 'food']",ham
"['hi', 'sue', '20', 'year', 'old', 'work', 'lapdancer', 'love', 'sex', 'text', 'live', 'bedroom', 'text', 'sue', '89555', 'textoperator', 'g2', '1da', '150ppmsg', '18']",spam
"['sure', 'stomach']",ham
"['thinking', 'lifting', 'one']",ham
"['winner', 'valued', 'network', 'customer', 'hvae', 'selected', 'receive', '900', 'reward', 'collect', 'call', '09061701444', 'valid', '24', 'hour', 'acl03530150pm']",spam
['ok'],ham
"['done', 'handed', 'know', 'mega', 'shop', 'asda', 'count', 'celebration', 'thats']",ham
"['jay', 'told', 'already']",ham
"['good', 'day', 'mine', 'really', 'busy', 'much', 'tomorrow', 'night']",ham
"['might', 'come', 'kerala', '2', 'day', 'prepared', 'take', 'leave', 'finalise', 'dont', 'plan', 'travel', 'visit', 'need', 'finish', 'urgent', 'work']",ham
"['velly', 'good', 'yes', 'please']",ham
"['problem', 'walk', 'around', 'julianaland', 'oblivious', 'going', 'around', 'say', 'thing', 'constantly', 'go', 'one', 'ear', 'go', 'whatever', 'want', 'know', 'upset', 'listen', 'tell', 'going', 'upset', 'want', 'surprised', 'mad']",ham
"['many', 'thing', 'antibiotic', 'used', 'chest', 'abdomen', 'gynae', 'infection', 'even', 'bone', 'infection']",ham
"['rofl', 'true', 'name']",ham
"['customer', 'service', 'announcement', 'recently', 'tried', 'make', 'delivery', 'unable', 'please', 'call', '07090298926', 'schedule', 'ref', '9307622']",spam
"['want', 'new', 'video', 'phone', '750', 'anytime', 'network', 'min', 'half', 'price', 'line', 'rental', 'free', 'text', '3', 'month', 'reply', 'call', '08000930705', 'free', 'delivery']",spam
"['ok', 'lor', 'ü', 'reaching', 'message']",ham
"['waaaat', 'lololo', 'ok', 'next', 'time']",ham
"['studying', 'free', 'next', 'weekend']",ham
"['taking', 'italian', 'food', 'pretty', 'dress', 'panty']",ham
"['list', 'buyer']",ham
"['dear', 'reached', 'railway', 'happen']",ham
"['ree', 'entry', '2', 'weekly', 'comp', 'chance', 'win', 'ipod', 'txt', 'pod', '80182', 'get', 'entry', 'std', 'txt', 'rate', 'c', 'apply', '08452810073', 'detail', '18']",spam
"['win', 'year', 'supply', 'cds', '4', 'store', 'ur', 'choice', 'worth', '500', 'enter', '100', 'weekly', 'draw', 'txt', 'music', '87066', 'ts', 'cs', 'www', 'ldew', 'com', 'subs16', '1win150ppmx3']",spam
"['u', 'laugh', 'really', 'loud', 'u', 'talk', 'spontaneously', 'u', 'dont', 'care', 'others', 'feel', 'u', 'probably', 'dear', 'amp', 'best', 'friend', 'goodevening', 'dear']",ham
"['went', 'ur', 'hon', 'lab', 'one']",ham
"['u', 'say', 'leh', 'course', 'nothing', 'happen', 'lar', 'say', 'v', 'romantic', 'jus', 'bit', 'lor', 'thk', 'e', 'nite', 'scenery', 'nice', 'leh']",ham
"['hello', 'r', 'u', 'im', 'bored', 'inever', 'thought', 'id', 'get', 'bored', 'tv', 'tell', 'something', 'exciting', 'happened', 'anything']",ham
"['aight', 'rush', 'ask', 'jay']",ham
"['okay', 'good', 'problem', 'thanx']",ham
"['broke', 'list', 'reason', 'nobody', 'town', 'tell', 'sarcastic', 'faggy']",ham
"['hello', 'u', 'u', '2', 'u', 'b', 'moving', 'flat', 'co', 'need', 'arrange', 'pick', 'lamp', 'etc', 'take', 'care', 'hello', 'caroline']",ham
"['ugh', 'long', 'day', 'exhausted', 'want', 'cuddle', 'take', 'nap']",ham
"['want', 'new', 'nokia', '3510i', 'colour', 'phone', 'delivered', 'tomorrow', '200', 'free', 'minute', 'mobile', '100', 'free', 'text', 'free', 'camcorder', 'reply', 'call', '8000930705']",spam
"['think', 'spatula', 'hand']",ham
"['aww', 'must', 'nearly', 'dead', 'well', 'jez', 'iscoming', 'todo', 'workand', 'whilltake', 'forever']",ham
"['idk', 'sitting', 'stop', 'shop', 'parking', 'lot', 'right', 'bawling', 'eye', 'feel', 'like', 'failure', 'everything', 'nobody', 'want', 'feel', 'like', 'failing']",ham
"['winner', 'valued', 'network', 'customer', 'selected', 'receivea', '900', 'prize', 'reward', 'claim', 'call', '09061701461', 'claim', 'code', 'kl341', 'valid', '12', 'hour']",spam
"['chance', 'might', 'evaporated', 'soon', 'violated', 'privacy', 'stealing', 'phone', 'number', 'employer', 'paperwork', 'cool', 'please', 'contact', 'report', 'supervisor']",ham
['havent'],ham
"['cool', 'want', 'go', 'kappa', 'meet', 'outside', 'mu']",ham
"['class', 'lt', 'gt', 'reunion']",ham
"['amazing', 'rearrange', 'letter', 'give', 'meaning', 'dormitory', 'dirty', 'room', 'astronomer', 'moon', 'starer', 'eye', 'see', 'election', 'result', 'lies', 'let', 'recount', 'mother', 'law', 'woman', 'hitler', 'eleven', 'plus', 'two', 'twelve', 'plus', 'one', 'amazing']",ham
"['happy', 'new', 'year', 'princess']",ham
"['jus', 'finish', 'bathing']",ham
"['ha', 'say', 'read', 'anything', 'way', 'u', 'seemed', 'like', '2', 'judgemental', 'save', 'friday', 'pub']",ham
"['hmm', 'bits', 'piece', 'lol', 'sigh']",ham
"['txt', 'call', '86888', 'claim', 'reward', '3', 'hour', 'talk', 'time', 'use', 'phone', 'subscribe6gbp', 'mnth', 'inc', '3hrs', '16', 'stop', 'txtstop', 'www', 'gamb', 'tv']",spam
"['call', 'da', 'waiting', 'call']",ham
"['lot', 'happened', 'feels', 'quiet', 'beth', 'aunt', 'charlie', 'working', 'lot', 'helen', 'mo']",ham
"['yetunde', 'sorry', 'moji', 'seem', 'busy', 'able', 'go', 'shopping', 'please', 'find', 'way', 'get', 'wanted', 'u', 'get', 'please', 'forgive', 'reply', 'free', 'via', 'yahoo', 'messenger']",ham
"['pls', 'wont', 'belive', 'god', 'jesus']",ham
"['love', 'start', 'attraction', 'feel', 'need', 'every', 'time', 'around', 'first', 'thing', 'come', 'thought', 'would', 'start', 'day', 'end', 'every', 'time', 'dream', 'love', 'every', 'breath', 'name', 'life', 'happen', 'around', 'life', 'named', 'would', 'cry', 'give', 'happiness', 'take', 'sorrow', 'ready', 'fight', 'anyone', 'love', 'craziest', 'thing', 'love', 'proove', 'anyone', 'girl', 'beautiful', 'lady', 'whole', 'planet', 'always', 'singing', 'praise', 'love', 'start', 'making', 'chicken', 'curry', 'end', 'makiing', 'sambar', 'life', 'beautiful', 'get', 'every', 'morning', 'thank', 'god', 'day', 'would', 'like', 'say', 'lot', 'tell', 'later']",ham
"['time', 'coming']",ham
"['ball', 'moving', 'lot', 'spin', 'last', 'difficult', 'bat']",ham
"['great', 'princess', 'love', 'giving', 'receiving', 'oral', 'doggy', 'style', 'fave', 'position', 'enjoy', 'making', 'love', 'lt', 'gt', 'time', 'per', 'night']",ham
"['prasanth', 'ettans', 'mother', 'passed', 'away', 'last', 'night', 'pray', 'family']",ham
"['free', '1st', 'week', 'entry', '2', 'textpod', '4', 'chance', '2', 'win', '40gb', 'ipod', '250', 'cash', 'every', 'wk', 'txt', 'pod', '84128', 'ts', 'cs', 'www', 'textpod', 'net', 'custcare', '08712405020']",spam
"['late', 'said', 'website', 'dont', 'slipper']",ham
"['thankyou', 'much', 'call', 'appreciate', 'care']",ham
"['urgent', '2nd', 'attempt', 'contact', 'u', '900', 'prize', 'yesterday', 'still', 'awaiting', 'collection', 'claim', 'call', '09061702893']",spam
"['hello', 'lover', 'go', 'new', 'job', 'happy', 'think', 'wake', 'slave', 'send', 'teasing', 'kiss', 'across', 'sea']",ham
"['actually', 'first', 'time', 'went', 'bed', 'long', 'spoke', 'woke', '7', 'night']",ham
"['thank', 'god', 'bed']",ham
"['k', 'still', 'loving']",ham
"['block', 'breaker', 'come', 'deluxe', 'format', 'new', 'feature', 'great', 'graphic', 'mobile', 'buy', '5', 'replying', 'get', 'bbdeluxe', 'take', 'challenge']",spam
"['im', 'inperialmusic', 'listening2the', 'weirdest', 'track', 'ever', 'leafcutter', 'john', 'sound', 'like', 'insect', 'molested', 'someone', 'plumbing', 'remixed', 'evil', 'men', 'acid']",ham
"['boy', 'late', '2', 'home', 'father', 'power', 'frndship']",ham
"['date', 'sunday']",ham
"['filthy', 'story', 'girls', 'waiting']",spam
"['spook', 'mob', 'halloween', 'collection', 'logo', 'pic', 'message', 'plus', 'free', 'eerie', 'tone', 'txt', 'card', 'spook', '8007', 'zed', '08701417012150p', 'per', 'logo', 'pic']",spam
"['ever', 'green', 'quote', 'ever', 'told', 'jerry', 'cartoon', 'person', 'irritates', 'u', 'always', 'one', 'loves', 'u', 'vry', 'much', 'fails', 'express', 'gud', 'nyt']",ham
"['love', 'set', 'soul', 'fire', 'spark', 'flame', 'big', 'rawring', 'flame', 'xoxo']",ham
"['want', 'new', 'video', 'handset', '750', 'anytime', 'network', 'min', 'half', 'price', 'line', 'rental', 'camcorder', 'reply', 'call', '08000930705', 'delivery', 'tomorrow']",spam
"['send', 'text', 'skype', 'later']",ham
"['babe', 'love', 'cover', 'face', 'kiss']",ham
"['get', 'garden', 'ready', 'summer', 'free', 'selection', 'summer', 'bulb', 'seed', 'worth', '33', '50', 'scotsman', 'saturday', 'stop', 'go2', 'notxt', 'co', 'uk']",spam
"['tired', 'slept', 'well', 'past', 'night']",ham
"['miss', 'call', 'miss', 'call', 'khelate', 'kintu', 'opponenter', 'miss', 'call', 'dhorte', 'lage', 'thats', 'rule', 'one', 'great', 'phone', 'receiving', 'quality', 'win']",ham
"['msg', 'rajini', 'come']",ham
"['baaaaabe', 'miss', 'youuuuu', 'go', 'teach', 'class', '5']",ham
"['stupid', 'auto', 'correct', 'phone']",ham
"['said', 'look', 'pretty', 'wif', 'long', 'hair', 'wat', 'thk', 'cutting', 'quite', 'short', '4', 'leh']",ham
"['hi', 'missed', 'call', 'mumhas', 'beendropping', 'red', 'wine', 'theplace', 'adress']",ham
"['babe', 'need', 'advice']",ham
"['okay', 'shining', 'meant', 'signing', 'sound', 'better']",ham
"['g', 'want', 'know', 'fuck']",ham
"['heard', 'u4', 'call', 'night', 'knickers', 'make', 'beg', 'like', 'u', 'last', 'time', '01223585236', 'xx', 'luv', 'nikiyu4', 'net']",spam
"['watching', 'tv', 'lor']",ham
"['good', 'morning', 'dear', 'great', 'amp', 'successful', 'day']",ham
